date,main_source_aware_return,diagnostic_return,return_difference_main_minus_diagnostic,abs_return_difference,main_cumulative_return,diagnostic_cumulative_return,cumulative_return_difference,main_drawdown,diagnostic_drawdown,drawdown_difference_main_minus_diagnostic,diagnostic_turnover_estimated_from_weights
2024-11-27,-0.01574822124884062,-0.016055176950948206,0.000306955702107585,0.000306955702107585,-0.015748221248840677,-0.016055176950948158,0.0003069557021074809,0.0,0.0,0.0,0.5
2024-11-28,-0.0022929814325417606,-0.0024734786721319624,0.0001804972395902018,0.0001804972395902018,-0.018005092302463277,-0.018488943485314713,0.0004838511828514358,-0.002292981432541752,-0.00247347867213199,0.00018049723959023822,0.0
2024-11-29,0.0015464072281924487,0.0017422189544302736,-0.00019581172623782481,0.00019581172623782481,-0.016486528279151536,-0.01677893631867189,0.0002924080395203532,-0.0007501200874105995,-0.0007355690591276387,-1.4551028282960843e-05,0.0
2024-12-02,0.021277658067412764,0.021014374096012485,0.00026328397140027923,0.00026328397140027923,0.0044403350768187355,0.00388283893260688,0.0005574961442118553,0.0,0.0,0.0,0.06150834602374483
2024-12-03,0.009653383730691342,0.008813079434271589,0.0008403042964197534,0.0008403042964197534,0.014136583065899488,0.012730138134821933,0.001406444931077555,0.0,0.0,0.0,0.0
2024-12-04,0.006877301912595092,0.007315806921729976,-0.0004385050091348843,0.0004385050091348843,0.021111106528251433,0.020139076289233282,0.0009720302390181512,0.0,0.0,0.0,0.0
2024-12-05,0.0034578930550153908,0.0030159908102157357,0.00044190224479965503,0.00044190224479965503,0.024641999531914482,0.023215806368463543,0.0014261931634509395,0.0,0.0,0.0,0.0
2024-12-06,-0.0024936722471551043,-0.0025113021973548677,1.76299501997634e-05,1.76299501997634e-05,0.02208687821441213,0.02064620226556224,0.00144067594884989,-0.002493672247155243,-0.0025113021973548477,1.762995019960467e-05,0.0
2024-12-09,0.0007476770722034566,0.0006016513312053094,0.0001460257409981472,0.0001460257409981472,0.022851069139053104,0.021260275411844942,0.0015907937272081618,-0.001747859636516469,-0.0019111617944596038,0.00016330215794313485,0.0
2024-12-10,-0.00505687162273095,-0.005046292002005017,-1.0579620725933471e-05,1.0579620725933471e-05,0.01767864259324381,0.016106697852068752,0.0015719447411750576,-0.006795892557451055,-0.006947809515986725,0.00015191695853566944,0.0
2024-12-11,-0.008266111210025736,-0.007914722857148539,-0.0003513883528771973,0.0003513883528771973,0.009266397757500044,0.008064494945277279,0.001201902812222766,-0.015005828163825452,-0.014807542386351957,-0.00019828577747349474,0.0
2024-12-12,0.00986056874039626,0.009623282507801926,0.00023728623259433416,0.00023728623259433416,0.019218338449960015,0.017765384366220438,0.0014529540837395771,-0.005293225423545156,-0.005326757042179997,3.353161863484111e-05,0.0
