kappa,probability_order,description,deployability,brier_20d,brier_60d,weighted_brier,hard_accuracy_20d,hard_accuracy_60d,avg_entropy,avg_bearish_probability,avg_dynamic_lambda,median_dynamic_lambda,shuffle_id
0.0,ordered,(1-kappa)*pre-evaluation class prior + kappa*realized label one-hot vector,non-deployable_oracle_positive_control,0.7579492132544473,0.8541325620222999,0.825277557391944,0.2852664576802508,0.06583072100313479,0.912322496890492,0.22629904559915165,37.33404333424534,37.33404333424533,
0.0,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,0.7579492132544473,0.8541325620222999,0.825277557391944,0.2852664576802508,0.06583072100313479,0.912322496890492,0.22629904559915165,37.33404333424534,37.33404333424533,0.0
0.0,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,0.7579492132544473,0.8541325620222999,0.825277557391944,0.2852664576802508,0.06583072100313479,0.912322496890492,0.22629904559915165,37.33404333424534,37.33404333424533,1.0
0.0,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,0.7579492132544473,0.8541325620222999,0.825277557391944,0.2852664576802508,0.06583072100313479,0.912322496890492,0.22629904559915165,37.33404333424534,37.33404333424533,2.0
0.0,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,0.7579492132544473,0.8541325620222999,0.825277557391944,0.2852664576802508,0.06583072100313479,0.912322496890492,0.22629904559915165,37.33404333424534,37.33404333424533,3.0
0.0,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,0.7579492132544473,0.8541325620222999,0.825277557391944,0.2852664576802508,0.06583072100313479,0.912322496890492,0.22629904559915165,37.33404333424534,37.33404333424533,4.0
0.1,ordered,(1-kappa)*pre-evaluation class prior + kappa*realized label one-hot vector,non-deployable_oracle_positive_control,0.6139388627361023,0.6918473752380627,0.6684748214874745,0.2852664576802508,0.13479623824451412,0.9202757957585053,0.2208478244248164,37.423851382458956,37.09342157380796,
0.1,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,0.7481081417329676,0.7890260586236427,0.7767506835564402,0.2852664576802508,0.06896551724137931,0.9207191782197588,0.2208478244248164,37.4349359439903,37.09342157380796,0.0
0.1,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,0.7443463862470742,0.7858912623853982,0.773427799543901,0.2852664576802508,0.06896551724137931,0.9207348272688856,0.22084782442481637,37.43532717021847,37.09342157380796,1.0
0.1,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,0.7474811824853187,0.793414773357185,0.7796346960956251,0.2852664576802508,0.06269592476489028,0.9208213217945359,0.22084782442481637,37.43748953335973,37.09342157380796,2.0
0.1,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,0.751869897218861,0.7909069363665893,0.7791958246222707,0.2852664576802508,0.07523510971786834,0.9207672406737697,0.2208478244248164,37.436137505340575,37.09342157380796,3.0
0.1,shuffled,Date order of oracle probability vectors is shuffled; marginal probability distribution is preserved.,non-deployable_shuffled_oracle_control,0.7499890194759142,0.7883990993759938,0.7768760754059698,0.2852664576802508,0.06896551724137931,0.9208003633954819,0.2208478244248164,37.43696557338338,37.09342157380796,4.0
