Date,0050,006208,00692,00881,TAIEX,SP500,NASDAQ,SOXX,USD_TWD,VIX,NIKKEI225,HANGSENG,KOSPI,US10Y
2021-01-01,,,,,,,,,,,,,,
2021-01-04,,,,,,,,,-0.0008796083232996965,,,,,
2021-01-05,0.002010356143756331,0.003571259587476172,0.00032389767974905226,0.010249826310673171,0.006576285123691017,0.007082595157549276,0.009490116019786887,0.020445227695354617,0.0016753039220644972,-0.06043749359531836,-0.003659424986194426,0.006444510940113446,0.01566340673209421,0.04143946322799641
2021-01-06,0.01083474817744956,0.007829347285898791,0.008743504907926303,0.005072873957884028,-0.001126690434413824,0.005709842747752214,-0.006097992513683037,-0.003244010057975033,-0.00519554141558376,-0.010655108766291721,-0.003781170221051511,0.0015349592080882157,-0.007476871268942253,0.09109955342701426
2021-01-07,0.023421975784282623,0.022598985817929185,0.019582730316591856,0.01703467357562949,0.015408670884735187,0.014847403800101189,0.025641300789502663,0.03772850430705721,-0.0044714720207886804,-0.10769840001825937,0.016047914617869585,-0.005192101990216469,0.021383248334318816,0.027831020269010187
2021-01-08,0.01784326839819439,0.023480478842269337,0.017947098587510757,0.019230844713235884,0.016428959860161685,0.005491862685268911,0.010292726308001487,0.0005269529447984311,0.0034782555059014175,-0.03620926879315989,0.023604778049963526,0.011968017791337271,0.03974693988715039,0.03174606884820785
2021-01-11,0.008384243807295633,0.0033737777028757243,0.005258201653938199,0.04869135455299878,0.006036595319823146,-0.006554750898592476,-0.012539844430301206,0.010131087718625587,0.0032298875962781803,0.11688314101048247,0.0,0.0010761088492508009,-0.0011833018893717684,0.02443434383971721
2021-01-12,-0.0015117640825247358,0.0013449969475163304,0.0003077275880505326,-0.03946617424484811,-0.0036381383714123583,0.0004157884466327033,0.002761492284541589,0.006057910875996164,0.00013207182501551173,-0.03114617950067544,0.0008994818765055701,0.013205044520582243,-0.007146373723242894,0.005300390568396596
2021-01-13,0.024224099692933265,0.020819391898530215,0.01845588707984991,0.021752343320917245,0.017372136099950586,0.0022756417379066196,0.004323642135673156,0.0016287464912798644,-0.001523866753858849,-0.048006894251865995,0.010376596846272346,-0.001455272993713952,0.007146655653347933,-0.04393668876403223
2021-01-14,-0.009238874686622434,-0.009210573974876457,-0.006342562522379747,0.005913663474796715,-0.003981618061412617,-0.0037534511943366766,-0.001242334431341141,0.021187183372035623,0.001429659277378148,0.046825797316417894,0.00849258197141567,0.009252849921354445,0.0005208835773635734,0.03768371980296292
2021-01-15,0.003357047400933011,0.003320244543803863,-0.0027355075213928437,0.0,-0.005780841688809102,-0.007190027975370938,-0.008704551600417165,-0.020337694745418355,-0.0011099764382738186,0.046881726993027506,-0.006240102347233711,0.002702052145000522,-0.020327445589726323,-0.028343620106479506
2021-01-18,-0.000743484841797093,0.0013236333973885017,0.0,-0.004703149779167415,-0.000281092399480376,0.0,0.0,0.0,-0.00016438136585916752,0.0,-0.009711666079981862,0.010110995244232646,-0.023322198704003205,0.0
2021-01-19,0.02641361711204593,0.024454444280920917,0.022553950194545314,0.026580049389564264,0.016997829694305633,0.008136379515524483,0.015284816517290523,0.03430450093831561,-3.544459519000398e-06,-0.04519311317065755,0.013853377161789249,0.02700744863659099,0.026122034106444314,-0.004557880782669277
2021-01-20,0.001812357783919527,0.004516209347519284,0.0,0.0005752813375154986,-0.004483767095057822,0.013935625421946263,0.0197065068945248,-0.0035714431979672057,-0.0024015161615658087,-0.07142856556629995,-0.003848685009316344,0.010801848368109601,0.007078093725416901,-0.0018314782388465511
2021-01-21,0.034732212818199715,0.03018613255078484,0.028912209734114347,0.03507779134751643,0.021990756186637928,0.0003167233075522802,0.005473641067082813,0.01445662635333922,-0.0008956304875132881,-0.012048203419881442,0.008189793568283754,-0.0011584804819310124,0.014862512509605352,0.017431131756555418
2021-01-22,-0.017863530091556723,-0.012468567609183467,-0.014194751629949098,0.02777764066259847,-0.008341041238197788,-0.0030106116552376383,0.0008979007267215788,-0.016959063932598606,0.0024668330598713872,0.02767355351938039,-0.0043610519012040605,-0.01603561910441509,-0.006393934687031977,-0.01623084508746997
2021-01-25,-0.013459394317663298,-0.011363694041914174,-0.011754186537035971,-0.0324324513129739,-0.004525257343149014,0.0036158389430824833,0.006861866299858299,0.0014373500828408492,-0.00025753041093057316,0.05842084416064908,0.006665392390442504,0.024149816223714815,0.021766368522436963,-0.04674610529251022
2021-01-26,-0.02028017879118571,-0.022349995083608243,-0.01784131050684512,-0.021787587231799077,-0.018040931072369037,-0.0014888337468982327,-0.0007282686399603389,-0.01624600923316577,-0.001130491485045626,-0.007330749132337333,-0.00957971708635863,-0.025456737670315532,-0.021402351471843883,0.0
